zcta5,puma12,pop10,afact
12054,2002,16918,1
12056,1700,2310,1
12057,300,1398,0.762
12057,1900,437,0.238
12058,2100,1445,1
12059,2002,1632,1
12060,2100,1507,1
12061,1900,9050,1
12062,1900,1605,0.904
12062,2100,171,0.096
12063,1900,444,1
12064,403,563,1
12065,1801,38584,0.924
12065,1802,3192,0.076
12066,403,1102,0.514
12066,1600,656,0.306
12066,1700,385,0.18
12067,2002,1506,1
12068,1600,3201,1
12069,1600,256,1
12070,1600,1410,1
12071,403,270,1
12072,1600,2890,1
12074,1802,2963,1
12075,2100,3418,1
12076,403,1500,1
12077,2002,6246,1
12078,1600,23773,1
12083,2002,1286,0.339
12083,2100,2509,0.661
12084,2002,4271,1
12085,2002,479,1
12086,1600,1542,0.827
12086,1802,323,0.173
12087,2002,137,0.128
12087,2100,936,0.872
12089,1900,69,1
12090,1900,6262,1
12092,403,1304,1
12093,403,1321,0.793
12093,2203,345,0.207
12094,300,94,0.041
12094,1900,2174,0.959
12095,1600,12606,1
12106,2100,2193,1
12108,200,416,1
12110,2002,21908,1
12115,2100,189,1
12116,403,1920,1
12117,1600,3256,1
12118,1801,2824,0.203
12118,1802,10562,0.76
12118,1900,511,0.037
12120,2002,586,0.956
12120,2100,27,0.044
12121,1900,1916,1
12122,403,4400,0.96
12122,2002,182,0.04
12123,1900,5124,1
12124,2100,606,1
12125,2100,1373,1
12130,2100,987,1
12131,403,115,1
12132,2100,338,1
12134,200,595,0.169
12134,1600,1929,0.549
12134,1802,992,0.282
12136,2100,804,1
12137,1600,380,0.226
12137,1700,1299,0.774
12138,1900,3168,1
12139,200,295,1
12140,1900,1702,1
12143,2002,4811,0.937
12143,2100,326,0.063
12144,1900,20555,1
12147,2002,499,1
12148,1801,487,0.107
12148,1802,4082,0.893
12149,403,2474,1
12150,1700,914,1
12151,1801,696,0.983
12151,1802,12,0.017
12153,1900,814,1
12154,300,501,0.178
12154,1900,2317,0.822
12155,403,1845,0.933
12155,2203,132,0.067
12156,1900,696,0.821
12156,2100,152,0.179
12157,403,4033,0.993
12157,1700,22,0.005
12157,2002,6,0.001
12158,2002,6309,1
12159,2002,7896,1
12160,403,944,1
12161,2002,160,1
12164,200,365,1
12165,2100,175,1
12166,403,5,0.004
12166,1600,1358,0.996
12167,403,738,0.303
12167,2203,1700,0.697
12168,1900,1952,1
12169,1900,306,1
12170,1802,4945,1
12172,2100,405,1
12173,2100,1753,1
12174,2100,345,1
12175,403,797,1
12176,2100,198,1
12177,1600,518,1
12180,1900,53606,1
12182,1900,14733,1
12183,2002,2620,1
12184,1900,84,0.012
12184,2100,7064,0.988
12185,300,252,0.124
12185,1900,1785,0.876
12186,2002,6277,1
12187,403,697,1
12188,1801,10980,1
12189,2002,17568,1
12190,200,674,1
12192,2100,1722,1
12193,2002,2016,1
12194,403,207,1
12195,2100,154,1
12196,1900,3031,1
12197,403,2233,1
12198,1900,7903,1
12202,2001,9628,1
12203,2001,19665,0.657
12203,2002,10287,0.343
12204,2001,2740,0.373
12204,2002,4609,0.627
12205,2001,9272,0.344
12205,2002,17705,0.656
12206,2001,16395,1
12207,2001,1948,1
12208,2001,20702,1
12209,2001,10121,1
12210,2001,10158,1
